steaming_data,sentiment_score,sentiment
iisma nanya emang seflawless essay achievement nilai ept lho nge saltyin awardees sampe entitled terima iisma sampe nge discredit yg terima pede lu usaha doa nya tekun dri yg terima,0.0,Netral
buka proofreader essay iisma guys ayo yg proofread vernon,0.0,Netral
aylevars mascara somethinc hungover bagus banget emang,0.0,Netral
ken viral deh,0.0,Netral
iya h jadwal interview iisma ku mock interview katingku tau gak interview boom i almost cried but yeah abis mock interview latih,-0.5926,Negatif
multitaskign joki minimal sih,0.0,Netral
hyungstress kali ultahnya ldr ya,0.0,Netral
ga sangkal rasio anak vo terima apply iisma kaya gimana coba pikir faktor kaya pakai toeic ept banyak host unis vo very industrycentered discussiontheory centered,0.0,Netral
sedih neng pergi iisma psikobagiduo,0.0,Netral
jgn marah klo pacar yg kayak anjg anjg setia bangga,0.0,Netral
awardeez iisma iismavo lulus yg ucap terima kasih skrng blm yuk skrng ucapin dicomments,0.0,Netral
kegabutanagata yhh makasih orang yg bikin kompetitif akademik semester wont be trying so hard if not for you fr worklife balance be a yapper,-0.2183,Negatif
kegabutanagata km udh ga sayang ya dig udh jarang main sm gaada foto,0.0,Netral
iismafess uni,0.0,Netral
iismafess masukin terima pil,0.0,Netral
orang iisma yg sombonk ain,0.0,Netral
iismafess,0.0,Netral
ngulang iisma gak minimal x gitu gak pake ngampus spend time aja,0.0,Netral
iismafess nder tp terima jg gak situ,0.0,Netral
iisma awardees terima taun ini tau nggaa essay no sebutin uni enggaa,0.0,Netral
hannncill org cuy trnyata,0.0,Netral
wajah gw emg bkn wajah iisma bjirrrr,0.0,Netral
happy easter ga ikut cari telur gereja ungsi ruang dancer zoom first gathering iisma region but it s okay i got croffles,0.5719,Positif
jasa belibayarco check outpurchasepayorder tes duolingo english test det bayar duolingo english test payment semangat juang iisma ict lpdp ken kuliah negeri nona,0.0,Netral
brain rot men cm ya bs eksekusi cm mrk bocah iisma kakak ppi hehe,0.0,Netral
anjir bocah iisma ft kk syot ketua ppi,0.3612,Positif
whatever you said nder rejeki gaakan ketuker serius deh lolos iisma jalur aneh aneh may allah guide you to be better rejeki iisma allah siapin rejeki,0.4404,Positif
ustadchen moga lolos iisma aussie,0.0,Netral
saashmi makasih ya iisma awardee,0.4215,Positif
mitchyuvly cantik bangett,0.0,Netral
oh astaga gua ken daftar iisma dpn amin,0.0,Netral
scallistara tinggal kasih liat aja proof terima web iisma gituu apk m paspor kalo pilih study abroad alamat tinggal sana asrama blm tau tinggal mana blg bapak alas milih reguler tu,-0.2732,Negatif
wonluckbag anak iisma jatuh cinta mas racing,0.0,Netral
vernonkemang tangkira nonton mama aju nice sampe saur ya,0.4215,Positif
iismafess personally ttd kontrak syarat jd bs pause iisma amp lg coba ajaa cari,0.0,Netral
ustadchen taun jdi awardee iisma,0.4215,Positif
amamiyaws pmm ken iisma ajh ku pikir lagih,0.0,Netral
tp banget spesifik lolos iisma jepang jepang cari gojo satoru motor yamaha grand filano ya alloh motor suzuki shogun ku dah masuk bengkel hasilin uang lumayan hobi,0.4588,Positif
amamiyaws pmm iisma sal enak,0.0,Netral
draftanakunpad,0.0,Netral
vodkissed wannabe that ui kid yg iup n daftar iisma goreng krispi netizen tiktok,0.0,Netral
iisma ga ya,0.0,Netral
mahasiswa nyata lolos seleksi beasiswa indonesian international student mobility awards iisma,0.4588,Positif
gaes nanya yg terima iisma nggaa ken tanyaa tanyaa iismaa,0.0,Netral
lillthy orgil iisma huft,0.0,Netral
adriiillll pancakedome iismafess ehh udah ttd blm imigrasi gimana ya,0.0,Netral
iismafess cari yg kontrak ajaa kalo magang,0.0,Netral
iisma ambil kerja nunggu departure yay or naytapi resign pas berangkat departure september btw,0.25,Positif
cocotmu njir ngerasa superior kh,0.5423,Positif
curedmiyawaki ohiya btup,0.0,Netral
pesona cowo iisma,0.0,Netral
jgn pelihara ya sakit hati,0.0,Netral
gue taneo gamau polah doi terima iisma takut citra gabener wkwk,0.0,Netral
milyztone sksd turah,0.0,Netral
minniexy wiih iisma ya ka,0.0,Netral
milyztone online course dr wkwk otw byelingual,0.0,Netral
yet people here mocking them like theyre lower level than us pervertnya kek streetfoodnya jorok lalat,-0.34,Negatif
cingcongcenk next zoom wajib ikutt,0.0,Netral
iisma kalo tanda kuning gitu aman aja ya sisa dokumen deskripsi nya kosongin,0.0,Netral
sbmptnfess ajar pas tolak snm tp beneran ajar bangett bangett jam pagi sore hari,-0.3612,Negatif
iisma awardees spill host uni range nilai tes berapaberapa thank youu,0.5719,Positif
iisma urus visa yg cofunding serah tabung juta dapet guarantee letter yg regular makasih,0.25,Positif
iismafess to help you all get a better perspective iisma reg aus dokumen yg diupload dms selesai lapor jan ubah verified yg lengkap ya semangat congrats awardee,0.8957,Positif
bokovoiglaz bjirs bom,0.0,Netral
telorsoel i think its part of their grieving process in this case terima iisma and its find n quite normal imo dikeep aja bawa base gin yg mancing ribut simpati pilih media aja yg,-0.5106,Negatif
daftar iisma udah what ny older bro would call dealdealan politik ketua dpm doa kasih jalan ya jalan awal regenerasi organisasi yg berani bilang revive periode,-0.2263,Negatif
sepertigaons awaowkkwkwkw,0.0,Netral
bilang dana kampus cofunding kampus sender iisma sempat ya iisma capek tolak mulu,0.0,Netral
iismafess ikuttt,0.0,Netral
frisianredflag jgn sampe nyesel ya api temenku nyesel masuk uin krn gabisa iisma msib kampus ajar tukar mahasiswa,0.0,Netral
jaaaahraaa yoi sist,0.0,Netral
iisma gaesss cofoundd grup yukk biar semangatin sharing info,0.4215,Positif
iismafess temenan yg cofoundd grup klo bisaaa,0.0,Netral
kalahkulus ih mauu,0.0,Netral
pompomfess lumayan simpenan aven,0.0,Netral
avrchves wkwk rill lucu bingbing,0.0,Netral
imfckinclueless iismafess halo ka chel maaf dm putar iisma ka tysm kaa,0.0,Netral
louderthanbams,0.0,Netral
udah sih anjir tinggal terima aja putus yg iisma km clear visions tp daya tampung orang orang wow km we re tryin to move on here at least km jg coba utk legowo,0.8074,Positif
oneandnlyjnsuh testimoni jugaa lolos iisma jugaa akun twtnyaa banget testimoninya kalo bolee yaa,0.0,Netral
iisma tolong sedia sistem adu ginian please,0.3182,Positif
banjir air mata,0.0,Netral
seabloe iismafess pas baca daritadi bertanyatanya bikin heran,0.0,Netral
moga waras hadap smt project kp pre departure prep iisma,0.0,Netral
medpar dinamika assalamualaikum warahmatullahi wabarakatuh halo ken coba ajar negeri tau mosma miripmirip iisma mahasiswa ptkin nih wajib banget program kemenag,0.0,Netral
cursingname org kyk gitu lolos ya orang kyk hizu ga lolos heran,0.0,Netral
hah gue mimpi gue dapet iisma oz,0.0,Netral
klo jelek terima gak lu jelek apelagi monyed,0.0,Netral
cursingname iisma plus nya ya kak kesini kayak khusus yg ordal aja,0.0,Netral
iismafess gt meanwhile b pilih host uni less competitive essay achievements qualified tutup kurang interview you can conclude it by yourself dont compare things you dont exactly know iisma nilai parameter,0.3626,Positif
dosen announce research projecttt topicnya kyknya seruuuu tp gw udh iisma mending tmnku ep itril,0.0,Netral
allah kagak respect bgt orangorang yg kek orang matimatian ngekonstruk essay tetep ga lulus iisma even tahap itv pilih ewordi iisma essay copy orang doang spill the tea,0.4767,Positif
dear iisma awardees cofunding syarat pas apply nnt udh nyertain berkas kayak skck gitu kah btw buat ya tia,0.7964,Positif
shock kalo lu masuk fapsi,-0.3818,Negatif
khthoughts tibatiba next year dpt iisma sampe rusia,0.0,Netral
granolish bgt ka iisma situ,0.0,Netral
otak tau kmrn aja sempet tbtb jatuh hati salah kating dokter fakultas yg lulus iisma ketemu aja ga cmn liat foto ig suka mapres univ yg dokter jg ga ketemu inti yg otak encer tu tawan hati,0.0,Netral
mahir toefl basic auto free toefl prediction sharing beasiswa recording kelas meetings ecertif more info dm toefl ielts lestoefl lesbahasainggris kursusbahasainggris lpdp kursustoefl cpns iisma bumn les kursus scholarship testtoefl,0.7269,Positif
iismafess jam,0.0,Netral
lolos iisma ucapin selamat kali ya tp takut ganggu hm,0.0,Netral
pancakedome eh lithuania ga ya,0.0,Netral
gw adek gw g deket indo krn sibuk tp pas w iisma yg kampus gw bs hang tbh gw yg krn gw nyadar nyontoh gw a lot kyk during my time there we got a lot closer,0.0,Netral
avrchves haloo kak iisma dm cari tau tysm,0.0,Netral
gw kaga lolos iisma gw bilang ngapain lo anjing pamer ew,0.0,Netral
gue iri liat temen snm sbmnya ijo liat temen terima mandiri ptn liat temen terima iisma yaudah kek they worked hard for that themselves no they got every right to be happy and share it to socmed gue sih off socmed besok nyelametin,0.5106,Positif
wowzalive bandung gera slow living gitu,0.0,Netral
beastjaeyun belleseeun dudung dosen harvardyuniversiti dudung ngajarin awardee iisma,0.4215,Positif
fase kuliah sem anjay masuk ugm online sem stress bgt rumah trs fomo sm org yg udh selesai sem finally offline main sibuk panit sem psdmo prk siapin iisma stres dikit sem iisma sem tps gabut gumul,-0.5106,Negatif
guna iisma lpdp ln,0.0,Netral
klo taun dpn msh iisma mrk wajib partner up w hong kong uni sih one of the best school in asia and i love hk,0.8555,Positif
plisss rep cari mutualan yg msib,0.0,Netral
pentolkuriya anak iisma ko blumm tdur miii,0.0,Netral
temen iisma rrc biar gantung kunci mao ze kaos xi jinping,0.0,Netral
woonhakthekid anjrittt lucu jaehyun iisma,0.0,Netral
shaldndra kykk region disuru gtt utk dikirimin host uni kitaaaa,0.0,Netral
authorwetpet mwah,0.5423,Positif
iismafess btw jgn lgsg gerak sndiri urus lbh komunikasi host uni iisma jalur via sr tp klo km sr baik,0.0,Netral
kadang gw niat mw pake identitas asli akun awaokwkwkwk,0.0,Netral
iisma ada dapet email host uni kalo kek gin ngirim email host uni duluan ya,0.0,Netral
gw cape bgt jd pgn utk lari bikin threadkontentulisan ngebedah my iisma prep,0.0,Netral
guys ktp dah digantiisi nunggu suruh ajah iisma,0.0,Netral
gak tau tibatiba ken nang latih kti pilmapres kembaliin laptop teman kos langsung ngerasa nang buka whatsapp chat masuk deadline giat tugas capek nelpon mamak gak tenaga,0.0,Netral
temen temen iisma ganti akun nih rant krn gk kepake jd baik bub ak aja yh trimss,-0.34,Negatif
ps akuu design using figma,0.0,Netral
anahiejm berankat kampung wes,0.0,Netral
pasipasipapaaa iismafess sorry oot bundle det gabisa sharing orang nder,0.3612,Positif
ikutaaan,0.0,Netral
ribu mahasiswa lolos beasiswa iisma ketua program selamat generasi indonesia emas tempocantika,0.0,Netral
letterjww kannnn dah u besok daftar iisma susah ketemu si,0.0,Netral
terimakasih awardees yg reminiscing iisma moments timeline nunjukin kalo ga,0.296,Positif
iisma udah co funding temenan yukk,0.0,Netral
ndned bro gue nonton lg kwkwkw,0.0,Netral
hahahha lucu bgt makasih dah bikin mood gw baik,0.0,Netral
moga sambat gw batas wajar,0.0,Netral
good mood pas liat jokes naga wkwkwk random bgt gw bejir,0.5994,Positif
ieowon jatah iisma lu gw aj,0.0,Netral
hadeh senin ngampus while being fomo w the others yg dah mudik,0.0,Netral
omg adu nasib guna yg gw baca,0.0,Netral
the only way yg bs gw senyum skrg kayak kuk matcha nya ayes,0.0,Netral
paman,0.0,Netral
nang kek i dont feel so okay with everything kek salah,0.3593,Positif
damn apa nang,-0.4019,Negatif
anyway gue essai iisma tuh gue lagu salah lowest point of my life due to family issues gue sbg anak tuh sgt rasa beban sampe gue psikolog guess what i used it as my hook for my essay,-0.3818,Negatif
mff bgt gue bkn tipe org yg segabut utk paham kode lu klo emg yg mw pls lgsng aja gausah pake isyarat yg pusing dgn makna lap yg faedah keep it simple and clear please,0.6369,Positif
postiisma goodness jd anker anak kereta,0.4588,Positif
kemaren bilang sila take care of yourself gilir gw beneran ngelakuin bilang gatau terima kasih ga peka ya lu sih kasitau aja gausah main kode gw gangerti gamau ribet jd pls be frontal,0.5423,Positif
nasigoreing apa mff liatt,0.0,Netral
hannncill juara harap gue,0.0,Netral
fase gamon iisma kayak sembuh kalo dapet sempat study abroad dah,0.0,Netral
program mbkm iisma magang tukar mahasiswa ln bawa mbkm bedakrna program kampus merdeka,0.0,Netral
ngulang iisma gas,0.0,Netral
kegabutanagata gue dukung,0.0,Netral
never have i ever thought kangen nonton windah basudara tp kangen nonton windah basudara indira maia,0.0,Netral
talentlessme anjaayy keren bgt sr ini semangat sayangkuu lt,0.0,Netral
relate sekaliii ngurus iisma ngerasa salah trs grgr ibun duit kosan nang takut hasil ga sesuai alhamdulillah lolos ibun jg not from the rich anak ga cuman doang tt,-0.4449,Negatif
iisma awardee bank indonesia scholarship awardee god is good,0.8625,Positif
pesona iisma awardee,0.4215,Positif
bjirrrr dokyeom encore aju nice sampe celana robek d,0.4215,Positif
kk awardee iisma cofund uk senggang tanyatanya ga malam terima kasih,0.6486,Positif
guys klo coret ga sih mahasiswa snmptn,0.0,Netral
semirnoff ezraa pp bikin emosi jir,0.0,Netral
oeuvrelegy lolos iisma ambil kampus ya,0.0,Netral
woonhakthekid bismillah awardee iisma yale,0.4215,Positif
woonhakthekid random bgt iisma,0.0,Netral
naksir jadi anjinggg fluent bgt jaehyun bismillah semester iisma,0.0,Netral
ugmfess nurul ashri mardliyah pogung raya mpd,0.0,Netral
dorong gue iisma,0.0,Netral
cimowyregal keren banget,0.0,Netral
orang indo idolain arab arab pandang rendah orang indo,0.0,Netral
aubryplaza gasss sblm iisma,0.0,Netral
aquariusboy asli euy wishlist gakepenuhi,0.0,Netral
iisma nih questionable yaa pilih tp gw pilih,-0.296,Negatif
bujetttt stress gwehh uts iisma kerja lu maju gua tidur,-0.4215,Negatif
iisma siapa iis dahlia,0.0,Netral
aaa daritadi mati lampu aaa gabisa bgtt,0.0,Netral
keren banget wei lolos iisma kampus orang semangat study abroad nya adik,0.0,Netral
rjosefano hai ci iisma,0.0,Netral
cepat idupin lampu ahhh,0.0,Netral
buru idupin lampu arghhh,0.0,Netral
katingku beda fakultas yg lolos iisma wow,0.5859,Positif
llicore lu pake high heels ga sih,0.0,Netral
cycle of life sd tarung masuk smp favorit smp tarung masuk sma favorit sma tarung dapet ptn top pas kuliah tarung dapet msibiisma kerja tarung masuk pnsbumnperusahaan bonafide simpul pajak lu tetep dimakanin ani ani eselon,0.2023,Positif
swlalu langgeng jaehyuk anak manajemen iup iisma awardee magang unilever anak mun libur bal kayak depokjakarta,0.4215,Positif
lilrosettes susah teknik mah iisma lulus telat,0.0,Netral
gue nyebelin orkay iisma sih,0.0,Netral
guys yg kutek,0.0,Netral
dianscorner utfess halo kak bole dm kakak ga ga sengaja liat profil kakak lolos iisma,0.0,Netral
mintzmina anggur yah,0.0,Netral
wizardfes hermione masuk komunitas iisma fighter,0.1531,Positif
cookiedrxps mjbb tp are you kak fay yg awardee cu iisma tiktok sii,0.4215,Positif
iisma kakak awardee upf iisma cofund,0.4215,Positif
bismillah masuk ui trs terima iisma leiden,0.0,Netral
pls mootsku yg bikin biar qrt,0.0772,Positif
janji gak iisma iismaan wkwkwkwkwkkwkw,0.0,Netral
flash sale efektif tingkat skor toefl tutor alam les toefl bimbel toefl kelas toefl bimbing toefl kursus tba cp lpdp bumn cpns toefl scholarship bahasainggris iisma aas beasiswa lestoefl bimbel studyabroad,0.5423,Positif
eijiii awww thank you this is a really specific and beautiful compliment im honoredd tt tpi mostly nnt yg kuga selera buku jaman smpsma ku yg bagus skrg wkkwkw gapapa ya stay tuned then,0.8678,Positif
hari ngezoom,0.0,Netral
tki ani bikin citra jelek cewe indo aja,0.0,Netral
studeiry dohtore iismafess btw disclaimer awardee blm berangkat yaa tau alumni ajar pake bhs inggris kokk sesuai tentu iisma pake ept nya detieltstoefl tpi sesuai kampus menerimaga terima ept yaa pribadi pake det,0.4215,Positif
bgstt,0.0,Netral
nanya serius orang dah nikah selingkuh tuh ga inget momen bahagia pas wedding ga,0.0,Netral
unhasfess dibiayain kesana gimana,0.0,Netral
tokutei ginou sih ambis sbm,0.0,Netral
guys yg mutualan tpi blm follback krn miss rep pls,-0.0772,Negatif
serta pilih iisma capai mahasiswa,0.0,Netral
dohtore studeiry iismafess ga disebutin wajib bhs jepang sih tpi pribadi ajar bhs jepang mandiri berangkatt,0.0,Netral
reyhansagevti menang lomba lolos iisma,0.0,Netral
yukkk semangat uts tengah siap iisma luvv myself,0.0,Netral
cookiedrxps attifmuhammad iismaac waah cucyokk,0.0,Netral
ngapain iisma canberra institute of technology,0.0,Netral
ken nembak ntu thn d join iisma ga sih ga iismavo,0.296,Positif
gue ga ldr udah ga ketemu,0.0,Netral
lepas iisma skripisan wisuda didik profesi dapet gelar psikolog kejar beasiswa negri,0.0,Netral
carried out well garis besar aja ya posisi company orga yg sbnrnya ken gue ikutin beda yg gue jalanin hahaha host uni iisma krn gue bener ga bayang us kecuali minggu sblm tutup regis,0.6908,Positif
fuckphysic lu tman gw bang,0.0,Netral
shafiyoow that imam while holding sajadah and giving ustad vibes,0.34,Positif
pas iisma gue sem buka iisma ya gue ga daftar tuh gue blg daftar nnti sem aja krn gue msh byk matkul wajib wkwkw yaudah iisma garis plan gue carried out well lomba orga panit magang udah gue sisa ta,0.2732,Positif
gue tuh emg anak kalo prepare bener bener gue iisma plan gue udh mateng bgt gue tau dr kuliah pas semester gue udh nnya prodi gimana niar gue semester ln lulus semester jd dr sem gue udh nyodok matkul,0.0,Netral
dipikirpikir gue iisma prep gue kek bgt iisma anjir bener ya self manifestation and believing in yourself can make it come true pas gue ui gagal snmptn tp gue kek pede bgt ui lol,0.6808,Positif
kakakkakak alumni tementemen awardee iisma kolom ttd endorsement paspor beda ya paspor sender udh kolom ttd tp blom ttd tinggal dateng utk ttd endorsement mohon pencerahannnya,0.7506,Positif
bangga ucap selamat sukses prestasi sembilan mahasiswa fkm hasil ikut program indonesia international student mobility awards iisma,-0.1027,Negatif
nasib i dah lelaki ii cam tu,0.0,Netral
attifmuhammad piririyupi iismaac blio designer merch guys req aja bisaa talented,0.5106,Positif
fase kuliah sem ok uner sedih tp letsgo sem jessup feeling unworthy tp ip woohoo sem gagal jessup feeling unworthy prokeran sem iisma prep,0.128,Positif
chasefeast bawa koper kahh,0.0,Netral
laloyyy jd keinget naufal yg tiktok,0.0,Netral
chasefeast mostly ukur segitu ya kalo ga ya,0.0,Netral
wkwkwk rumah olive oil masak olive oil rambut yg semerbak wangi,0.0,Netral
gak bikin sticker pack kah iismaac,0.0,Netral
collegemenfess fyi uin salatiga blm bs iisma kmmb blm ngirim mahasiswa jerman,0.2023,Positif
lukesry lahh ketua organisasi iisma,0.0,Netral
iisma nanya baju batik bawa brp ya trus europe musim dingin gak bkal dingin klo pake rok lilit host uni ceko btw gmna ya alumni awardee tlg thank youuu,0.6486,Positif
cimowyregal ngobrol aja koor hrs ganti jd nama paspor tp iisma harus internal sesuai ktp kalo urus ln koor tuju sesuain paspor,0.0,Netral
granolish i see kalo beda internal iisma ga kk gapapa,0.3612,Positif
cimowyregal imigrasi engga sih krn udh nyesuain berkas ln pake nama paspor ku ielts visa nama host uni beda sm nama internal iisma portal rekening sertif iisma,0.0,Netral
iisma kolom tandatangan paspor tandatangan pake pulpen kah coordinator region barusan bilang menandatangani halaman paspor,0.0,Netral
cingcongcenk papah wkwkkwk,0.0,Netral
mahasiswa hasil lolos seleksi beasiswa iisma gimana,0.0,Netral
adegan dewasa selesai tugas dkv urus berkas iisma,0.0,Netral
ajar toefl tes toefl itp resmi feedback super detail pro tutor awardee beasiswa dnln free ongkir kirim sertifikat toefl lpdp bumn cpns toefl scholarship bahasainggris toeflibt iisma aas beasiswa lestoefl bimbel studyabroad testoefl,0.926,Positif
ganti kulit aja tetep lemah,0.0,Netral
stop konten lolos iisma fyp gue pls gue kek tp kek aelah,-0.2263,Negatif
guys klian predept uda prep aja,0.0,Netral
avrchves tampar ya avy kalo bom ajar,0.0,Netral
avrchves bejir jg udah lupa hrs,0.0,Netral
kek kemaren discovernus sem only kabar yg tolak iisma,0.0,Netral
iisma awardees region,0.296,Positif
anjir gue pindah smg biar aman gangster sdm rendah ikut pindah,0.0,Netral
bismillahtaku collegemenfess mantep coba skrg btw udah lulus udah gabisa program kek igip iisma,0.0,Netral
iismafess gapapaa siap iisma nyambi bem organisasi eksternal panitia cari alam nder tp sesuai porsi yaa,0.0,Netral
palingteguh ga iisma ga snbp aneh tai sistem kualifikasi beneran gacha banget bangsattt,0.0,Netral
nyansaurus adaa,0.0,Netral
kalo ga iisma sy juang kkn jepang tsb,0.0,Netral
furuyia mksut,0.0,Netral
jujur gue sih nikmat ayam geprek pecel lele soto betawi makananmakanan indo pergi sih kangen buangetttt luangin keluarga temanteman dekat,0.0,Netral
materi lbing snbt catat main idea a thread iisma emang keren cari main idea paragraf menit keren boshhh nih bilang bahasa inggris susah coba minceu pas udah baca thread,0.0,Netral
horeee udah tinggal nunggu verif,0.0,Netral
bebyrdsya emang bole geb agama,0.0,Netral
ya sabtu qot new episode ara nonton ep karna kemarin ep nya tahan tahan tonton karna gamau rasa cliff hanger siksa,0.0,Netral
hoak gak nih mbkm aja kalo magang msib jalur negeri buka iisma awas aja sender nih fitnah kalo gak bener,0.0,Netral
asa interview uhmm sih asertif affectionate fleksibel komunitatif accepting ga judgy gak ilang ilangan value introverted supportive ambisi cocok bgt feeler,0.8442,Positif
pentolkuriya milo anak iisma,0.0,Netral
hyungstress ngapain ajar bugil coba,0.0,Netral
khannsssa iyaa akun does not exist tibatiba,0.0,Netral
figlianim collegemenfess udh program mosma nder kek iisma uin jkt udh awardee nyaa cman tetep sih mosma gk yg jerman,0.4215,Positif
aboutreia telat,0.0,Netral
kannakagami collegemenfess abis program igip program mbkm program magang negeri requirement iisma fundingnya dgn iisma beda kalo iisma tukar ajar igip magang nyari info,0.0,Netral
adriiillll iismafess maksud gimana tu kaaa,0.0,Netral
yg dapet lpdp or iisma kek banyak pamer foto jalanjalan dah gitu aja,0.0,Netral
makan date hr,0.0,Netral
hannncill pulang sambut suara kereta lu lok,0.0,Netral
hexiay syarat iisma kahh,0.0,Netral
sem kena mental krn matkul gacocok sm lingkung first time konsul psikolog klinik makara sem panitampbem akademik flop daftar utbk ulang sem terima nasib ngejar ip sem sadar ngebut krn smt udah iismaintern,-0.34,Negatif
capek bgt ken nang inget ken awarde next year,0.0,Netral
kalo gue ngerjain tugas proyek kelompok do it my self gue egois ga jujur capek ngajak partisipasi orang ketimbang ngerjain udah ajak gaada yg gerak dl nya gapapa uda lihat seunghan,0.0,Netral
nyansaurus hihi itsokayy cya pastiii nnt bareng bisaa yaa amin,0.0,Netral
umr kelah harap keluarga,0.0,Netral
gaada steady ground english gabisa iisma nope seinget yg dapet score det dapet iisma sortirpilihan univ you just need to practice twice or thrice as hard,-0.1027,Negatif
trilliun jadiin iisma program wajib anak kuliah indonesia jalanin seleksi gonggg,0.0,Netral
kireireoreo iismafess mauu mutualan kaa,0.0,Netral
njing rame bgt menfess eug,0.0,Netral
iisma bawa gitarkeyboard ga sih,0.0,Netral
iismafess hubung iisma ap,0.0,Netral
sbtstuff tag pls pppineappllee,0.0772,Positif
tabibiba sebrp mehong,0.0,Netral
sleketeprikitiw gw lu ribut,0.0,Netral
pilih det pengaruh pilih univ iisma pros cheaper ajar uji seru banding ept uji jam hasil cepet banding ept,0.0,Netral
gezabayusans ga puasa maskam senin kamis adaaa langgan antri sana,0.0,Netral
kiddcat gpp bgt krn mahasiswa kasih jatah x program kampus merdeka apa kombinasinanya msibiismakampus mengajaretc jg skrg lg msib nih ttp aman daftar iisma,0.0,Netral
sleketeprikitiw heboh lu,0.0,Netral
ok ak jd collector,0.296,Positif
tabibiba ka tabi beli dmnaa,0.0,Netral
ken sirkel lolos iisma minimal anak lpdp ndak gitu international conference singapore japan daya pemuda desa didik kuliah dah kalah ama aja temen everyday ngajak mabuk main wanita,0.0,Netral
ehh salah iisma awardee favorit gue ngilang twitter deact kah beliau,0.4215,Positif
